Contig,Feature,Feature Start in Contig,Feature End in Contig,Feature Direction in Contig,Domain Accession,Domain Start in Feature,Domain End in Feature,E-value,Bit Score,Domain Coverage,Domain Description
NC_004347,IOPOJEFP_01114,1203721,1204209,+,TIGR01575,22,154,7.1E-32,108.3,1.0,rimI: ribosomal-protein-alanine acetyltransferase
NC_004347,IOPOJEFP_01115,1204274,1205239,-,TIGR00510,22,321,1.3E-145,482.4,0.9933774834437086,lipA: lipoyl synthase
NC_004347,IOPOJEFP_01116,1205236,1205889,-,TIGR00214,27,183,3.4E-66,220.4,0.8716577540106952,lipB: lipoyl(octanoyl) transferase
NC_004347,IOPOJEFP_01119,1207687,1208538,-,TIGR00413,101,272,2.2E-45,153.1,0.8028846153846154,rlpA: rare lipoprotein A
NC_004347,IOPOJEFP_01120,1208522,1209586,-,TIGR02282,56,346,4.8E-128,424.3,0.996551724137931,MltB: lytic murein transglycosylase B
NC_004347,IOPOJEFP_01121,1209603,1210706,-,TIGR02210,16,363,6.1E-138,457.8,1.0,rodA_shape: rod shape-determining protein RodA
NC_004347,IOPOJEFP_01122,1210703,1212535,-,TIGR03423,13,602,1.7E-234,777.7,0.9983136593591906,pbp2_mrdA: penicillin-binding protein 2
NC_004347,IOPOJEFP_01123,1212623,1213093,-,TIGR00246,2,156,2.0E-76,253.2,0.9935483870967742,tRNA_RlmH_YbeA: rRNA large subunit m3Psi methyltransferase RlmH
NC_004347,IOPOJEFP_01124,1213093,1213422,-,TIGR00090,7,104,1.0E-38,129.4,0.98989898989899,rsfS_iojap_ybeB: ribosome silencing factor
NC_004347,IOPOJEFP_01125,1213530,1214168,-,TIGR00482,5,210,4.6E-49,165.0,1.0,TIGR00482: nicotinate (nicotinamide) nucleotide adenylyltransferase
NC_004347,IOPOJEFP_01126,1214181,1215212,-,TIGR01128,15,329,1.4E-100,334.6,0.9968152866242038,"holA: DNA polymerase III, delta subunit"
NC_004347,IOPOJEFP_01128,1215819,1218398,-,TIGR00396,5,858,0.0,1257.3,0.9988137603795967,leuS_bact: leucine--tRNA ligase
NC_004347,IOPOJEFP_01130,1219078,1219569,-,TIGR02532,7,29,1.1E-7,29.4,0.9583333333333334,IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain
NC_004347,IOPOJEFP_01131,1219581,1221137,-,TIGR00546,69,465,1.2E-95,319.0,0.9974683544303797,lnt: apolipoprotein N-acyltransferase
NC_004347,IOPOJEFP_01133,1222095,1222556,-,TIGR00043,40,145,1.1E-36,123.3,0.990990990990991,TIGR00043: rRNA maturation RNase YbeY
NC_004347,IOPOJEFP_01135,1223880,1225304,-,TIGR01574,4,439,2.4E-198,657.5,0.9977116704805492,miaB-methiolase: tRNA-i(6)A37 thiotransferase enzyme MiaB
NC_004347,IOPOJEFP_01137,1226116,1227330,+,TIGR01988,18,402,2.6E-114,380.0,1.0,"Ubi-OHases: ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family"
NC_004347,IOPOJEFP_01138,1227499,1228086,+,TIGR00447,4,191,6.2E-67,222.9,1.0,pth: aminoacyl-tRNA hydrolase
NC_004347,IOPOJEFP_01139,1228241,1229332,+,TIGR00092,1,363,1.2E-169,562.2,1.0,TIGR00092: GTP-binding protein YchF
NC_004347,IOPOJEFP_01151,1234415,1234891,+,TIGR01462,5,156,5.9E-56,186.7,1.0,greA: transcription elongation factor GreA
NC_004347,IOPOJEFP_01153,1235992,1237848,+,TIGR01129,133,604,1.6E-124,414.1,1.0,secD: protein-export membrane protein SecD
NC_004347,IOPOJEFP_01154,1237851,1238735,+,TIGR00966,32,269,2.2E-64,215.5,0.991869918699187,3a0501s07: protein-export membrane protein SecF
NC_004347,IOPOJEFP_01155,1238792,1239091,-,TIGR00253,3,96,9.6E-35,117.0,0.9895833333333334,"RNA_bind_YhbY: putative RNA-binding protein, YhbY family"
NC_004347,IOPOJEFP_01157,1239856,1241814,+,TIGR01241,104,598,1.3E-244,810.5,0.9959677419354839,FtsH_fam: ATP-dependent metallopeptidase HflB
NC_004347,IOPOJEFP_01158,1241974,1242807,+,TIGR01496,18,272,4.7E-103,342.3,0.9922480620155039,DHPS: dihydropteroate synthase
NC_004347,IOPOJEFP_01159,1242881,1244218,+,TIGR01455,7,442,1.5E-189,628.2,0.997737556561086,glmM: phosphoglucosamine mutase
NC_004347,IOPOJEFP_01160,1244412,1245194,+,TIGR00419,7,246,2.4E-65,218.5,0.9912280701754386,tim: triose-phosphate isomerase
NC_004347,IOPOJEFP_01161,1245196,1245531,+,TIGR00810,3,73,1.1E-25,87.4,0.9726027397260274,"secG: preprotein translocase, SecG subunit"
NC_004347,IOPOJEFP_01165,1246441,1247940,+,TIGR01953,5,346,7.9E-122,404.4,0.9941176470588236,NusA: transcription termination factor NusA
NC_004347,IOPOJEFP_01166,1247966,1250623,+,TIGR00487,300,885,8.2E-283,937.5,0.9965928449744463,IF-2: translation initiation factor IF-2
NC_004347,IOPOJEFP_01167,1250687,1251130,+,TIGR00082,1,115,1.4E-35,120.2,0.9826086956521739,rbfA: ribosome-binding factor A
NC_004347,IOPOJEFP_01168,1251130,1252083,+,TIGR00431,10,218,5.5E-86,285.6,1.0,TruB: tRNA pseudouridine(55) synthase
NC_004347,IOPOJEFP_01169,1252211,1252480,+,TIGR00952,5,89,9.2E-38,126.4,0.9883720930232558,S15_bact: ribosomal protein uS15
NC_004347,IOPOJEFP_01170,1252572,1254626,-,TIGR00254,245,408,9.0E-42,140.6,0.9821428571428571,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_01171,1254821,1256920,+,TIGR03591,9,690,0.0,1077.2,0.9985486211901307,polynuc_phos: polyribonucleotide nucleotidyltransferase
NC_004347,IOPOJEFP_01173,1258115,1259695,+,TIGR00503,1,526,7.5E-293,969.6,1.0,prfC: peptide chain release factor 3
NC_004347,IOPOJEFP_01176,1260900,1262198,+,TIGR00804,4,429,7.1E-150,497.5,1.0,"nupC: nucleoside transporter, NupC family"
NC_004347,IOPOJEFP_01179,1263797,1264567,+,TIGR00126,11,224,3.9E-74,246.6,0.9715639810426541,deoC: deoxyribose-phosphate aldolase
NC_004347,IOPOJEFP_01180,1264752,1266083,+,TIGR02643,2,438,7.6E-219,724.9,1.0,T_phosphoryl: thymidine phosphorylase
NC_004347,IOPOJEFP_01181,1266093,1267307,+,TIGR01696,3,402,6.0E-168,556.5,1.0,deoB: phosphopentomutase
NC_004347,IOPOJEFP_01182,1267399,1268109,+,TIGR00107,5,233,1.7E-111,369.3,0.9870689655172413,deoD: purine nucleoside phosphorylase
NC_004347,IOPOJEFP_01184,1269580,1270572,+,TIGR00338,120,327,3.7E-78,260.1,0.9497716894977168,serB: phosphoserine phosphatase SerB
NC_004347,IOPOJEFP_01187,1274210,1275574,+,TIGR00416,1,451,9.1E-214,708.3,1.0,sms: DNA repair protein RadA
NC_004347,IOPOJEFP_01190,1276936,1278015,-,TIGR02955,60,353,4.5E-130,431.1,1.0,TMAO_TorT: TMAO reductase system periplasmic protein TorT
NC_004347,IOPOJEFP_01191,1278075,1281152,+,TIGR02956,10,1020,0.0,1336.4,1.0,TMAO_torS: TMAO reductase sytem sensor TorS
NC_004347,IOPOJEFP_01193,1282266,1284755,-,TIGR02164,1,829,0.0,1630.8,0.9975728155339806,torA: trimethylamine-N-oxide reductase TorA
NC_004347,IOPOJEFP_01194,1284771,1285949,-,TIGR02162,6,392,5.5E-151,501.2,0.9974160206718347,torC: trimethylamine-N-oxide reductase c-type cytochrome TorC
NC_004347,IOPOJEFP_01195,1285976,1286146,-,TIGR02972,9,56,9.1E-29,97.0,1.0,"TMAO_torE: trimethylamine N-oxide reductase system, TorE protein"
NC_004347,IOPOJEFP_01211,1304328,1305857,+,TIGR00254,82,223,1.6E-15,55.2,0.9047619047619048,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_01224,1319669,1320805,+,TIGR01187,51,376,6.5E-130,430.9,1.0,"potA: polyamine ABC transporter, ATP-binding protein"
NC_004347,IOPOJEFP_01228,1324099,1325547,+,TIGR01780,30,476,1.0E-224,744.4,1.0,SSADH: succinate-semialdehyde dehydrogenase
NC_004347,IOPOJEFP_01229,1325611,1326888,+,TIGR00700,11,418,6.1E-160,530.3,0.9904761904761905,GABAtrnsam: 4-aminobutyrate transaminase
NC_004347,IOPOJEFP_01230,1326974,1328524,-,TIGR00924,11,489,3.3E-100,334.3,0.9768421052631578,yjdL_sub1_fam: amino acid/peptide transporter (Peptide:H+ symporter)
NC_004347,IOPOJEFP_01238,1335572,1337422,-,TIGR02393,378,614,5.7E-121,400.5,0.9957983193277311,RpoD_Cterm: RNA polymerase sigma factor RpoD
NC_004347,IOPOJEFP_01240,1337558,1339282,-,TIGR01391,3,413,2.5E-146,485.7,0.9975845410628019,dnaG: DNA primase
NC_004347,IOPOJEFP_01242,1339816,1340031,-,TIGR00030,2,59,1.6E-24,83.5,1.0,S21p: ribosomal protein bS21
NC_004347,IOPOJEFP_01243,1340246,1341262,+,TIGR03723,3,313,1.8E-134,445.7,0.9968152866242038,T6A_TsaD_YgjD: tRNA threonylcarbamoyl adenosine modification protein TsaD
NC_004347,IOPOJEFP_01244,1341341,1341952,-,TIGR00023,6,196,2.0E-70,234.5,0.9795918367346939,TIGR00023: acyl-phosphate glycerol 3-phosphate acyltransferase
NC_004347,IOPOJEFP_01245,1342214,1342564,+,TIGR00526,1,116,1.8E-35,119.8,0.9754098360655737,folB_dom: FolB domain
NC_004347,IOPOJEFP_01246,1342607,1343110,+,TIGR01498,5,129,8.7E-29,98.2,0.9921875,folK: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
NC_004347,IOPOJEFP_01247,1343129,1343929,+,TIGR00753,6,257,7.4E-74,246.6,1.0,undec_PP_bacA: undecaprenyl-diphosphatase UppP
NC_004347,IOPOJEFP_01254,1352004,1353296,-,TIGR00713,4,425,1.0E-192,638.4,0.9952718676122931,"hemL: glutamate-1-semialdehyde-2,1-aminomutase"
NC_004347,IOPOJEFP_01255,1353323,1354342,-,TIGR00670,8,316,1.0E-95,318.3,0.9901315789473685,asp_carb_tr: aspartate carbamoyltransferase
NC_004347,IOPOJEFP_01258,1357159,1357509,+,TIGR00049,11,116,1.1E-38,129.6,1.0,TIGR00049: iron-sulfur cluster assembly accessory protein
NC_004347,IOPOJEFP_01261,1358615,1359310,-,TIGR00861,9,224,2.5E-59,198.8,1.0,MIP: MIP family channel proteins
NC_004347,IOPOJEFP_01267,1371172,1372398,+,TIGR00234,16,406,2.0E-124,413.7,0.9827586206896551,tyrS: tyrosine--tRNA ligase
NC_004347,IOPOJEFP_01273,1375959,1376669,-,TIGR01704,2,229,9.1E-82,271.9,0.9956331877729258,MTA/SAH-Nsdase: MTA/SAH nucleosidase
NC_004347,IOPOJEFP_01274,1376937,1378343,-,TIGR01318,5,468,8.0E-243,804.0,0.9978586723768736,"gltD_gamma_fam: glutamate synthase, small subunit"
NC_004347,IOPOJEFP_01277,1383385,1384314,+,TIGR01212,7,306,1.1E-115,383.8,0.9900662251655629,"TIGR01212: radical SAM protein, TIGR01212 family"
NC_004347,IOPOJEFP_01281,1387213,1387884,-,TIGR02248,6,222,6.1E-118,389.6,1.0,mutH_TIGR: DNA mismatch repair endonuclease MutH
NC_004347,IOPOJEFP_01283,1389123,1391357,+,TIGR01417,171,730,3.1E-129,429.9,0.9964601769911504,PTS_I_fam: phosphoenolpyruvate-protein phosphotransferase
NC_004347,IOPOJEFP_01285,1392263,1393069,+,TIGR00544,4,262,4.4E-78,260.4,0.9357142857142857,lgt: prolipoprotein diacylglyceryl transferase
NC_004347,IOPOJEFP_01286,1393069,1393863,+,TIGR03284,2,85,8.0E-44,147.9,0.28378378378378377,thym_sym: thymidylate synthase
NC_004347,IOPOJEFP_01286,1393069,1393863,+,TIGR03284,84,264,3.6E-93,309.9,0.6114864864864865,thym_sym: thymidylate synthase
NC_004347,IOPOJEFP_01287,1393982,1395151,+,TIGR00773,8,380,1.0E-165,549.2,1.0,NhaA: Na+/H+ antiporter NhaA
NC_004347,IOPOJEFP_01291,1397396,1399009,-,TIGR00551,7,522,1.8E-205,681.2,1.0,nadB: L-aspartate oxidase
NC_004347,IOPOJEFP_01292,1399199,1399777,+,TIGR02939,2,190,4.0E-102,338.0,0.9947368421052631,RpoE_Sigma70: RNA polymerase sigma factor RpoE
NC_004347,IOPOJEFP_01296,1402041,1403831,+,TIGR01393,2,594,5.5E-298,987.2,0.9983193277310924,lepA: elongation factor 4
NC_004347,IOPOJEFP_01297,1404010,1404927,+,TIGR02227,64,278,1.0E-47,160.0,0.9814814814814815,sigpep_I_bact: signal peptidase I
NC_004347,IOPOJEFP_01298,1404929,1405609,+,TIGR02191,12,223,1.1E-73,245.3,0.9863013698630136,RNaseIII: ribonuclease III
NC_004347,IOPOJEFP_01299,1405606,1406625,+,TIGR00436,46,319,8.1E-103,341.4,1.0,era: GTP-binding protein Era
NC_004347,IOPOJEFP_01300,1406680,1407381,+,TIGR00613,3,142,2.3E-20,71.0,0.602510460251046,reco: DNA repair protein RecO
NC_004347,IOPOJEFP_01301,1407466,1408203,+,TIGR00559,6,239,3.9E-102,338.8,0.9916317991631799,pdxJ: pyridoxine 5'-phosphate synthase
NC_004347,IOPOJEFP_01302,1408203,1408586,+,TIGR00516,2,126,4.1E-43,144.6,0.976,acpS: holo-[acyl-carrier-protein] synthase
NC_004347,IOPOJEFP_01306,1411847,1413220,+,TIGR00959,2,430,2.0E-178,591.5,1.0,ffh: signal recognition particle protein
NC_004347,IOPOJEFP_01307,1413439,1413687,+,TIGR00002,2,79,1.0E-29,100.4,0.9743589743589743,S16: ribosomal protein bS16
NC_004347,IOPOJEFP_01308,1413708,1414238,+,TIGR02273,8,175,5.1E-57,189.9,0.9879518072289156,16S_RimM: 16S rRNA processing protein RimM
NC_004347,IOPOJEFP_01309,1414254,1415000,+,TIGR00088,1,233,1.2E-107,356.5,0.9914163090128756,trmD: tRNA (guanine(37)-N(1))-methyltransferase
NC_004347,IOPOJEFP_01310,1415035,1415388,+,TIGR01024,3,113,5.3E-51,169.5,0.9824561403508771,rplS_bact: ribosomal protein bL19
NC_004347,IOPOJEFP_01311,1415685,1416776,+,TIGR00034,10,346,3.6E-154,510.6,0.9766081871345029,aroFGH: 3-deoxy-7-phosphoheptulonate synthase
NC_004347,IOPOJEFP_01312,1416839,1417978,+,TIGR01799,9,91,5.8E-47,155.7,1.0,CM_T: chorismate mutase
NC_004347,IOPOJEFP_01313,1418195,1419859,+,TIGR01703,1,551,1.3E-226,751.2,1.0,hybrid_clust: hydroxylamine reductase
NC_004347,IOPOJEFP_01317,1422956,1424971,-,TIGR01797,8,89,2.3E-28,96.2,0.9879518072289156,CM_P_1: chorismate mutase
NC_004347,IOPOJEFP_01319,1427106,1428218,+,TIGR04407,2,349,5.0E-126,418.0,0.9942363112391931,LptF_YjgP: LPS export ABC transporter permease LptF
NC_004347,IOPOJEFP_01320,1428215,1429273,+,TIGR04408,3,352,6.0E-135,447.3,0.9971509971509972,LptG_lptG: LPS export ABC transporter permease LptG
NC_004347,IOPOJEFP_01328,1435568,1436128,+,TIGR01382,3,186,1.3E-57,192.0,1.0,"PfpI: intracellular protease, PfpI family"
NC_004347,IOPOJEFP_01334,1441185,1442747,-,TIGR00229,28,120,7.7E-16,56.3,0.746031746031746,sensory_box: PAS domain S-box protein
NC_004347,IOPOJEFP_01351,1459899,1460285,-,TIGR00004,4,125,8.0E-46,153.3,0.984,TIGR00004: reactive intermediate/imine deaminase
NC_004347,IOPOJEFP_01361,1470198,1471718,-,TIGR01813,43,498,1.1E-173,576.0,1.0,flavo_cyto_c: flavocytochrome c
NC_004347,IOPOJEFP_01368,1479605,1481374,-,TIGR01813,149,582,6.9E-179,593.2,1.0,flavo_cyto_c: flavocytochrome c
NC_004347,IOPOJEFP_01374,1488152,1489168,+,TIGR03508,75,332,5.0E-104,345.3,1.0,"decahem_SO: decaheme c-type cytochrome, DmsE family"
NC_004347,IOPOJEFP_01375,1489183,1491171,+,TIGR03509,52,661,3.3E-213,707.8,1.0,"OMP_MtrB_PioB: decaheme-associated outer membrane protein, MtrB/PioB family"
NC_004347,IOPOJEFP_01376,1491191,1493701,+,TIGR02166,1,836,0.0,1271.7,1.0,"dmsA_ynfE: anaerobic dimethyl sulfoxide reductase, A subunit, DmsA/YnfE family"
NC_004347,IOPOJEFP_01377,1493709,1494389,+,TIGR02951,8,184,2.4E-68,227.2,1.0,"DMSO_dmsB: dimethylsulfoxide reductase, chain B"
NC_004347,IOPOJEFP_01398,1511990,1512463,-,TIGR00608,29,157,9.5E-42,141.2,0.5963302752293578,radc: DNA repair protein RadC
NC_004347,IOPOJEFP_01418,1538572,1539063,-,TIGR00086,14,157,1.1E-51,172.6,0.9930555555555556,smpB: SsrA-binding protein
NC_004347,IOPOJEFP_01424,1542211,1543953,+,TIGR00254,396,557,1.3E-41,140.0,0.9702380952380952,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_01425,1544163,1545932,+,TIGR00932,14,284,4.0E-78,260.7,1.0,"2a37: transporter, monovalent cation:proton antiporter-2 (CPA2) family"
NC_004347,IOPOJEFP_01427,1549279,1550928,+,TIGR01344,37,547,2.3E-246,815.9,0.9980430528375733,malate_syn_A: malate synthase A
NC_004347,IOPOJEFP_01428,1551063,1552385,+,TIGR01346,14,261,8.7E-115,382.0,0.48007590132827327,isocit_lyase: isocitrate lyase
NC_004347,IOPOJEFP_01428,1551063,1552385,+,TIGR01346,262,440,1.2E-89,299.1,0.33206831119544594,isocit_lyase: isocitrate lyase
NC_004347,IOPOJEFP_01434,1557951,1560260,+,TIGR00217,412,744,2.7E-84,282.0,0.5741056218057922,malQ: 4-alpha-glucanotransferase
NC_004347,IOPOJEFP_01435,1560274,1562514,+,TIGR01515,115,733,1.7E-268,890.2,0.9983525535420099,"branching_enzym: 1,4-alpha-glucan branching enzyme"
NC_004347,IOPOJEFP_01436,1562511,1564763,+,TIGR02100,20,744,0.0,1093.2,0.997093023255814,glgX_debranch: glycogen debranching enzyme GlgX
NC_004347,IOPOJEFP_01437,1564766,1567279,+,TIGR02093,51,837,0.0,1158.5,0.9800995024875622,P_ylase: glycogen/starch/alpha-glucan phosphorylases
NC_004347,IOPOJEFP_01439,1567399,1568661,+,TIGR02091,15,387,1.9E-152,505.5,0.9945054945054945,glgC: glucose-1-phosphate adenylyltransferase
NC_004347,IOPOJEFP_01441,1570428,1573451,+,TIGR00254,579,741,8.9E-48,160.1,0.9761904761904762,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_01462,1597093,1598736,-,TIGR00795,4,543,2.8E-102,341.2,0.9830188679245283,"lctP: transporter, lactate permease (LctP) family"
NC_004347,IOPOJEFP_01465,1601186,1603054,-,TIGR00204,12,620,3.2E-295,978.4,0.9967532467532467,dxs: 1-deoxy-D-xylulose-5-phosphate synthase
NC_004347,IOPOJEFP_01467,1603951,1604199,-,TIGR01280,9,65,1.2E-22,77.7,1.0,"xseB: exodeoxyribonuclease VII, small subunit"
NC_004347,IOPOJEFP_01470,1606411,1607865,+,TIGR00342,4,373,2.2E-115,383.7,0.9946380697050938,TIGR00342: tRNA sulfurtransferase ThiI
NC_004347,IOPOJEFP_01487,1626100,1627656,-,TIGR00254,355,516,3.1E-45,151.9,0.9761904761904762,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_01493,1634487,1635176,+,TIGR02154,1,226,1.1E-111,369.6,1.0,PhoB: phosphate regulon transcriptional regulatory protein PhoB
NC_004347,IOPOJEFP_01494,1635257,1636555,+,TIGR02966,95,423,1.2E-140,466.2,0.993993993993994,phoR_proteo: phosphate regulon sensor kinase PhoR
NC_004347,IOPOJEFP_01495,1636781,1637752,+,TIGR02136,4,306,4.1E-93,309.8,0.9932203389830508,ptsS_2: phosphate binding protein
NC_004347,IOPOJEFP_01505,1645943,1647610,+,TIGR00254,392,542,8.9E-24,82.0,0.9464285714285714,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_01512,1655713,1656420,-,TIGR02453,14,232,7.6E-86,285.3,1.0,TIGR02453: TIGR02453 family protein
NC_004347,IOPOJEFP_01513,1656637,1658850,+,TIGR01785,44,737,1.0E-97,326.2,0.9955686853766618,TonB-hemin: TonB-dependent heme/hemoglobin receptor family protein
NC_004347,IOPOJEFP_01526,1668500,1670143,-,TIGR02814,86,523,5.9E-214,708.8,0.990990990990991,pfaD_fam: PfaD family protein
NC_004347,IOPOJEFP_01528,1676204,1678570,-,TIGR02816,216,741,8.6E-166,550.8,0.9925093632958801,pfaB_fam: PfaB family protein
NC_004347,IOPOJEFP_01529,1678567,1686162,-,TIGR02813,21,1223,0.0,2405.8,0.47443841982958945,omega_3_PfaA: polyketide-type polyunsaturated fatty acid synthase PfaA
NC_004347,IOPOJEFP_01529,1678567,1686162,-,TIGR02813,1220,2508,0.0,2331.4,0.5011618900077459,omega_3_PfaA: polyketide-type polyunsaturated fatty acid synthase PfaA
NC_004347,IOPOJEFP_01535,1692564,1693586,-,TIGR03138,69,340,7.1E-124,410.8,0.9890909090909091,QueF: queuine synthase
NC_004347,IOPOJEFP_01550,1704119,1705618,+,TIGR00826,396,475,3.8E-16,57.2,0.9886363636363636,"EIIB_glc: PTS system, glucose-like IIB component"
NC_004347,IOPOJEFP_01551,1705713,1706588,+,TIGR00655,18,291,6.4E-121,401.2,1.0,PurU: formyltetrahydrofolate deformylase
NC_004347,IOPOJEFP_01552,1706799,1707623,-,TIGR00965,4,272,6.1E-148,489.5,0.992619926199262,"dapD: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
NC_004347,IOPOJEFP_01553,1707642,1710227,-,TIGR01693,17,852,2.4E-288,956.9,0.9964705882352941,UTase_glnD: protein-P-II uridylyltransferase
NC_004347,IOPOJEFP_01554,1710310,1711107,-,TIGR00500,3,253,1.7E-98,327.0,0.9959514170040485,"met_pdase_I: methionine aminopeptidase, type I"
NC_004347,IOPOJEFP_01555,1711417,1712145,+,TIGR01011,3,225,3.6E-105,348.2,0.9911111111111112,rpsB_bact: ribosomal protein uS2
NC_004347,IOPOJEFP_01556,1712265,1713116,+,TIGR00116,1,277,1.5E-108,360.4,0.9897610921501706,tsf: translation elongation factor Ts
NC_004347,IOPOJEFP_01557,1713187,1713915,+,TIGR02075,10,240,1.9E-101,336.5,0.9957081545064378,pyrH_bact: UMP kinase
NC_004347,IOPOJEFP_01558,1713946,1714503,+,TIGR00496,10,185,3.7E-72,239.6,1.0,frr: ribosome recycling factor
NC_004347,IOPOJEFP_01559,1714586,1715413,+,TIGR00055,36,263,1.9E-94,313.3,1.0,"uppS: di-trans,poly-cis-decaprenylcistransferase"
NC_004347,IOPOJEFP_01561,1716296,1717486,+,TIGR00243,1,393,3.1E-153,508.2,0.9897172236503856,Dxr: 1-deoxy-D-xylulose 5-phosphate reductoisomerase
NC_004347,IOPOJEFP_01562,1717538,1718908,+,TIGR00054,3,456,1.8E-134,446.7,0.9928741092636579,TIGR00054: RIP metalloprotease RseP
NC_004347,IOPOJEFP_01563,1718940,1721420,+,TIGR03303,29,826,2.6E-288,956.4,1.0,"OM_YaeT: outer membrane protein assembly complex, YaeT protein"
NC_004347,IOPOJEFP_01565,1721987,1723012,+,TIGR01853,12,329,3.5E-115,382.3,0.9846153846153847,lipid_A_lpxD: UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
NC_004347,IOPOJEFP_01566,1723044,1723508,+,TIGR01750,8,148,5.0E-60,199.4,0.9929078014184397,fabZ: beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ
NC_004347,IOPOJEFP_01567,1723505,1724275,+,TIGR01852,2,254,1.1E-104,347.1,0.9960629921259843,lipid_A_lpxA: acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase
NC_004347,IOPOJEFP_01568,1724407,1725564,+,TIGR00215,1,378,1.5E-142,472.9,1.0,lpxB: lipid-A-disaccharide synthase
NC_004347,IOPOJEFP_01570,1726310,1729786,+,TIGR00594,6,1029,0.0,1348.2,1.0,"polc: DNA polymerase III, alpha subunit"
NC_004347,IOPOJEFP_01571,1729839,1731233,+,TIGR02432,24,212,5.6E-50,167.9,1.0,lysidine_TilS_N: tRNA(Ile)-lysidine synthetase
NC_004347,IOPOJEFP_01572,1731313,1732203,-,TIGR00254,133,290,1.3E-43,146.6,0.9761904761904762,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_01573,1732375,1734321,+,TIGR00932,13,284,4.0E-76,254.1,1.0,"2a37: transporter, monovalent cation:proton antiporter-2 (CPA2) family"
NC_004347,IOPOJEFP_01580,1741384,1742400,+,TIGR01214,20,306,1.9E-80,268.0,0.9438596491228071,rmlD: dTDP-4-dehydrorhamnose reductase
NC_004347,IOPOJEFP_01581,1742699,1743505,+,TIGR01331,18,262,8.0E-91,302.0,0.984,"bisphos_cysQ: 3'(2'),5'-bisphosphate nucleotidase"
NC_004347,IOPOJEFP_01585,1746108,1748387,-,TIGR03507,64,754,4.1E-165,548.9,0.9955357142857143,"decahem_SO1788: decaheme c-type cytochrome, OmcA/MtrC family"
NC_004347,IOPOJEFP_01588,1750654,1751139,-,TIGR00402,13,155,8.3E-41,137.4,0.8926174496644296,napF: ferredoxin-type protein NapF
NC_004347,IOPOJEFP_01589,1751216,1752229,-,TIGR01179,3,334,1.6E-143,475.5,0.9939759036144579,galE: UDP-glucose 4-epimerase GalE
NC_004347,IOPOJEFP_01590,1752229,1753137,-,TIGR01099,6,275,9.4E-111,367.5,1.0,galU: UTP--glucose-1-phosphate uridylyltransferase
NC_004347,IOPOJEFP_01591,1753461,1754276,+,TIGR01267,16,261,4.9E-102,338.4,0.9879032258064516,Phe4hydrox_mono: phenylalanine-4-hydroxylase
NC_004347,IOPOJEFP_01593,1754960,1756498,+,TIGR04381,463,510,8.3E-28,94.1,0.9795918367346939,HTH_TypR: TyrR family helix-turn-helix domain
NC_004347,IOPOJEFP_01595,1757911,1758561,+,TIGR01262,2,215,3.1E-92,305.9,0.995260663507109,maiA: maleylacetoacetate isomerase
NC_004347,IOPOJEFP_01600,1761814,1762755,+,TIGR01001,1,301,8.5E-141,466.8,0.9966777408637874,metA: homoserine O-succinyltransferase
NC_004347,IOPOJEFP_01601,1763186,1764376,+,TIGR01930,12,395,5.0E-128,425.2,1.0,AcCoA-C-Actrans: acetyl-CoA C-acyltransferase
NC_004347,IOPOJEFP_01602,1764513,1766012,+,TIGR01722,5,481,1.1E-246,817.0,1.0,MMSDH: methylmalonate-semialdehyde dehydrogenase (acylating)
NC_004347,IOPOJEFP_01606,1769393,1770295,+,TIGR01692,6,293,1.6E-120,399.8,0.9895833333333334,HIBADH: 3-hydroxyisobutyrate dehydrogenase
NC_004347,IOPOJEFP_01611,1774522,1776783,+,TIGR01525,155,748,8.1E-184,610.5,1.0,ATPase-IB_hvy: heavy metal translocating P-type ATPase
NC_004347,IOPOJEFP_01616,1783240,1784259,-,TIGR00254,169,336,2.5E-47,158.7,0.9821428571428571,GGDEF: diguanylate cyclase (GGDEF) domain
NC_004347,IOPOJEFP_01643,1810699,1812357,+,TIGR00974,252,544,7.0E-81,269.3,0.9816176470588235,"3a0107s02c: phosphate ABC transporter, permease protein PstA"
NC_004347,IOPOJEFP_01644,1812391,1813209,+,TIGR00972,26,272,2.2E-129,428.0,0.9959677419354839,"3a0107s01c2: phosphate ABC transporter, ATP-binding protein"
