Contig,Feature,Feature Start in Contig,Feature End in Contig,Feature Direction in Contig,Domain Accession,Domain Start in Feature,Domain End in Feature,E-value,Bit Score,Domain Coverage,Domain Description
FW602_bin_15,HOFBHBDL_00302,250499,251524,-,PF01409.19,88,341,1.60E-79,266.7,0.991836735,tRNA synthetases class II core domain (F)
FW602_bin_15,HOFBHBDL_00304,252318,252656,-,PF00453.17,8,107,6.70E-37,125.7,0.934579439,Ribosomal protein L20
FW602_bin_15,HOFBHBDL_00305,252658,252843,-,PF01632.18,1,58,3.60E-12,46.5,0.950819672,Ribosomal protein L35
FW602_bin_15,HOFBHBDL_00306,252855,253415,-,PF05198.15,10,78,5.00E-24,84.3,0.985714286,"Translation initiation factor IF-3, N-terminal domain"
FW602_bin_15,HOFBHBDL_00307,253446,254705,-,PF00587.24,97,310,1.20E-26,93.6,0.972067039,"tRNA synthetase class II core domain (G, H, P, S and T)"
FW602_bin_15,HOFBHBDL_00310,255363,256139,+,PF02673.17,6,250,1.70E-66,224.4,0.99609375,Bacitracin resistance protein BacA
FW602_bin_15,HOFBHBDL_00313,256396,257298,-,PF01244.20,75,293,2.20E-67,227.4,0.686520376,Membrane dipeptidase (Peptidase family M19)
FW602_bin_15,HOFBHBDL_00316,259478,260353,-,PF05697.12,9,145,1.40E-21,77.2,0.936170213,Bacterial trigger factor protein (TF)
FW602_bin_15,HOFBHBDL_00318,260578,260835,+,PF00076.21,5,74,2.40E-22,78.4,0.985714286,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
FW602_bin_15,HOFBHBDL_00319,260837,261808,-,PF00326.20,120,322,3.80E-10,39.5,0.966981132,Prolyl oligopeptidase family
FW602_bin_15,HOFBHBDL_00323,262871,264100,+,PF00817.19,15,165,1.50E-36,125.6,1,impB/mucB/samB family
FW602_bin_15,HOFBHBDL_00324,264097,264585,-,PF02643.14,49,157,3.50E-29,100.7,0.979166667,"Uncharacterized ACR, COG1430"
FW602_bin_15,HOFBHBDL_00328,265671,266429,-,PF08241.11,42,138,2.00E-13,50.6,1,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00336,268530,268976,+,PF14437.5,19,113,5.60E-24,84.4,0.630434783,MafB19-like deaminase
FW602_bin_15,HOFBHBDL_00337,269080,270090,-,PF07478.12,126,327,5.30E-09,35.8,0.995098039,D-ala D-ala ligase C-terminus
FW602_bin_15,HOFBHBDL_00342,272277,273341,-,PF01926.22,66,163,6.30E-21,74.5,0.868421053,50S ribosome-binding GTPase
FW602_bin_15,HOFBHBDL_00346,275365,277044,+,PF06418.13,2,255,9.50E-100,333.2,0.962406015,CTP synthase N-terminus
FW602_bin_15,HOFBHBDL_00348,278182,279561,-,PF00067.21,56,433,3.30E-30,105.2,0.86825054,Cytochrome P450
FW602_bin_15,HOFBHBDL_00352,280840,281361,+,PF13529.5,14,125,9.70E-10,39.1,0.944444444,Peptidase_C39 like family
FW602_bin_15,HOFBHBDL_00355,282320,283492,+,PF07690.15,7,348,2.80E-22,79,0.994334278,Major Facilitator Superfamily
FW602_bin_15,HOFBHBDL_00358,284883,285506,-,PF03575.16,15,207,3.00E-20,72.6,0.878640777,Peptidase family S51
FW602_bin_15,HOFBHBDL_00359,285566,286195,-,PF04294.12,79,204,4.80E-10,39.1,0.869230769,VanW like protein
FW602_bin_15,HOFBHBDL_00362,286812,288125,-,PF00496.21,81,373,4.50E-31,108,0.970822281,"Bacterial extracellular solute-binding proteins, family 5 Middle"
FW602_bin_15,HOFBHBDL_00363,288142,288348,-,PF03840.13,3,65,1.10E-10,41.4,0.957142857,Preprotein translocase SecG subunit
FW602_bin_15,HOFBHBDL_00364,288376,288780,-,PF04020.12,5,126,2.00E-09,37.9,0.952380952,"Mycobacterial 4 TMS phage holin, superfamily IV"
FW602_bin_15,HOFBHBDL_00365,288785,290071,-,PF08459.10,277,411,1.70E-34,118.9,0.935064935,UvrC Helix-hairpin-helix N-terminal
FW602_bin_15,HOFBHBDL_00366,290049,291899,-,PF01841.18,317,420,1.40E-18,67.2,0.875,Transglutaminase-like superfamily
FW602_bin_15,HOFBHBDL_00367,291896,294922,-,PF00005.26,686,923,1.20E-10,41.9,0.99270073,ABC transporter
FW602_bin_15,HOFBHBDL_00369,295463,297478,-,PF00271.30,437,547,5.00E-18,65.4,0.945945946,Helicase conserved C-terminal domain
FW602_bin_15,HOFBHBDL_00372,298294,298920,+,PF01726.15,7,65,1.50E-19,69.5,0.907692308,LexA DNA binding domain
FW602_bin_15,HOFBHBDL_00373,298960,299607,+,PF09335.10,50,175,5.50E-24,84.9,1,SNARE associated Golgi protein
FW602_bin_15,HOFBHBDL_00374,299590,301272,-,PF06415.12,86,338,1.70E-75,253.1,0.990697674,BPG-independent PGAM N-terminus (iPGM_N)
FW602_bin_15,HOFBHBDL_00375,301269,302540,-,PF00113.21,150,421,9.40E-91,304,0.945945946,"Enolase, C-terminal TIM barrel domain"
FW602_bin_15,HOFBHBDL_00376,302576,304855,-,PF01326.18,21,331,3.70E-104,348.4,0.975609756,"Pyruvate phosphate dikinase, PEP/pyruvate binding domain"
FW602_bin_15,HOFBHBDL_00378,305342,306421,-,PF10432.8,205,354,2.80E-35,121.5,0.993421053,Bacterial phospho-glucose isomerase C-terminal SIS domain
FW602_bin_15,HOFBHBDL_00379,306435,307787,-,PF02878.15,7,123,2.40E-33,114.7,0.876811594,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I"
FW602_bin_15,HOFBHBDL_00382,308819,309319,-,PF02075.16,3,157,2.30E-39,134.5,1,Crossover junction endodeoxyribonuclease RuvC
FW602_bin_15,HOFBHBDL_00383,309374,309901,+,PF04542.13,21,83,3.70E-14,52.1,0.887323944,Sigma-70 region 2
FW602_bin_15,HOFBHBDL_00384,309890,310240,-,PF01245.19,6,102,5.80E-31,106.6,0.846846847,Ribosomal protein L19
FW602_bin_15,HOFBHBDL_00385,310246,313758,-,PF07733.11,318,748,9.40E-145,482.4,0.997652582,Bacterial DNA polymerase III alpha subunit
FW602_bin_15,HOFBHBDL_00386,313777,315093,-,PF02934.14,7,287,1.10E-104,349.6,0.992673993,GatB/GatE catalytic domain
FW602_bin_15,HOFBHBDL_00387,315080,316345,-,PF07690.15,17,371,2.20E-25,89.2,0.994334278,Major Facilitator Superfamily
FW602_bin_15,HOFBHBDL_00388,316345,317763,-,PF01425.20,27,451,1.50E-130,436.1,0.997782705,Amidase
FW602_bin_15,HOFBHBDL_00389,317760,318065,-,PF02686.14,20,93,1.00E-17,64,1,Glu-tRNAGln amidotransferase C subunit
FW602_bin_15,HOFBHBDL_00390,318084,319010,-,PF01435.17,100,307,8.10E-33,113.8,0.903061224,Peptidase family M48
FW602_bin_15,HOFBHBDL_00391,319011,319598,-,PF04011.11,6,176,3.00E-42,144,0.933333333,LemA family
FW602_bin_15,HOFBHBDL_00392,319603,321381,-,PF14791.5,262,321,4.60E-17,61.8,0.985714286,DNA polymerase beta thumb
FW602_bin_15,HOFBHBDL_00395,322096,322515,+,PF00293.27,9,111,9.90E-14,51.4,0.832061069,NUDIX domain
FW602_bin_15,HOFBHBDL_00396,322698,323171,-,PF13419.5,32,140,4.60E-14,52.8,0.612359551,Haloacid dehalogenase-like hydrolase
FW602_bin_15,HOFBHBDL_00400,325256,325723,-,PF00293.27,6,147,1.30E-18,67.2,0.969465649,NUDIX domain
FW602_bin_15,HOFBHBDL_00403,326795,327418,+,PF01725.15,5,199,1.10E-34,119.8,0.98245614,Ham1 family
FW602_bin_15,HOFBHBDL_00406,328692,329114,-,PF00903.24,3,122,5.00E-13,49.3,0.9921875,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
FW602_bin_15,HOFBHBDL_00408,329718,330518,-,PF01636.22,158,214,3.20E-07,30.4,0.233333333,Phosphotransferase enzyme family
FW602_bin_15,HOFBHBDL_00409,330665,331366,-,PF08241.11,36,135,6.20E-08,33.1,0.957894737,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00410,331424,331858,+,PF01230.22,15,107,1.50E-10,41.6,0.928571429,HIT domain
FW602_bin_15,HOFBHBDL_00413,333237,334385,-,PF13529.5,196,354,1.40E-24,87.2,0.986111111,Peptidase_C39 like family
FW602_bin_15,HOFBHBDL_00414,334404,335522,-,PF13529.5,79,192,7.60E-14,52.4,0.951388889,Peptidase_C39 like family
FW602_bin_15,HOFBHBDL_00415,335538,336215,+,PF01476.19,105,151,2.10E-12,46.8,1,LysM domain
FW602_bin_15,HOFBHBDL_00415,335538,336215,+,PF01476.19,178,224,1.60E-09,37.6,1,LysM domain
FW602_bin_15,HOFBHBDL_00419,337623,340370,-,PF02384.15,325,640,2.00E-25,89.6,0.804487179,N-6 DNA Methylase
FW602_bin_15,HOFBHBDL_00421,340787,341515,-,PF13561.5,14,238,5.90E-51,173.2,0.991452991,Enoyl-(Acyl carrier protein) reductase
FW602_bin_15,HOFBHBDL_00424,342192,342914,+,PF00175.20,111,218,4.10E-15,56.3,0.981651376,Oxidoreductase NAD-binding domain
FW602_bin_15,HOFBHBDL_00425,342911,344110,-,PF02073.14,6,397,4.40E-98,328.6,0.997536946,Thermophilic metalloprotease (M29)
FW602_bin_15,HOFBHBDL_00429,345427,346548,-,PF04932.14,192,323,5.30E-08,32.5,0.974193548,O-Antigen ligase
FW602_bin_15,HOFBHBDL_00430,346521,347246,-,PF00535.25,5,88,5.40E-20,71.8,0.552941176,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00431,347243,348622,-,PF13231.5,53,196,7.30E-10,39.2,0.924528302,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00432,348619,349878,-,PF13440.5,43,335,3.00E-67,226.8,1,Polysaccharide biosynthesis protein
FW602_bin_15,HOFBHBDL_00433,349847,350791,-,PF00535.25,4,127,9.00E-24,84.1,0.758823529,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00435,351161,352120,-,PF13439.5,14,137,2.90E-09,37.1,0.882352941,Glycosyltransferase Family 4
FW602_bin_15,HOFBHBDL_00436,352117,352890,-,PF13489.5,71,220,3.30E-17,62.7,0.933333333,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00437,352930,354711,+,PF13529.5,229,366,4.80E-09,36.8,0.986111111,Peptidase_C39 like family
FW602_bin_15,HOFBHBDL_00439,355356,355961,-,PF00293.27,52,96,1.10E-08,35.1,0.358778626,NUDIX domain
FW602_bin_15,HOFBHBDL_00440,355971,357662,-,PF00478.24,203,491,2.10E-13,49.9,0.776811594,IMP dehydrogenase / GMP reductase domain
FW602_bin_15,HOFBHBDL_00441,357748,358314,+,PF00717.22,35,105,1.00E-17,63.7,1,Peptidase S24-like
FW602_bin_15,HOFBHBDL_00442,358311,359144,-,PF02195.17,8,94,2.30E-22,79,0.966666667,ParB-like nuclease domain
FW602_bin_15,HOFBHBDL_00443,359160,359411,-,PF01016.18,3,80,3.50E-26,90.9,0.987341772,Ribosomal L27 protein
FW602_bin_15,HOFBHBDL_00444,359466,359771,-,PF00829.20,3,100,2.80E-24,85.2,0.99009901,Ribosomal prokaryotic L21 protein
FW602_bin_15,HOFBHBDL_00445,359786,360817,-,PF01098.18,27,340,1.10E-74,251.5,0.888579387,Cell cycle protein
FW602_bin_15,HOFBHBDL_00446,360817,363609,-,PF00133.21,22,633,3.50E-163,544,0.993355482,"tRNA synthetases class I (I, L, M and V)"
FW602_bin_15,HOFBHBDL_00448,363735,364904,-,PF00091.24,13,174,2.90E-39,135.2,0.994923858,"Tubulin/FtsZ family, GTPase domain"
FW602_bin_15,HOFBHBDL_00449,364951,366228,-,PF02491.19,87,166,1.80E-31,108.2,1,SHS2 domain inserted in FTSA
FW602_bin_15,HOFBHBDL_00451,366968,368083,-,PF04101.15,193,341,4.80E-30,104.6,0.874251497,Glycosyltransferase family 28 C-terminal domain
FW602_bin_15,HOFBHBDL_00452,368067,369218,-,PF01098.18,28,372,1.50E-94,316.9,0.986072423,Cell cycle protein
FW602_bin_15,HOFBHBDL_00453,369224,370279,-,PF00953.20,103,275,7.50E-31,107.2,0.98125,Glycosyl transferase family 4
FW602_bin_15,HOFBHBDL_00454,370363,371484,+,PF07478.12,139,343,4.50E-37,127.5,0.995098039,D-ala D-ala ligase C-terminus
FW602_bin_15,HOFBHBDL_00455,371465,372628,-,PF08245.11,113,235,5.70E-23,81.8,0.65625,Mur ligase middle domain
FW602_bin_15,HOFBHBDL_00456,372625,373290,-,PF00561.19,3,97,6.80E-13,48.8,0.421875,alpha/beta hydrolase fold
FW602_bin_15,HOFBHBDL_00456,372625,373290,-,PF00561.19,146,206,6.50E-08,32.4,0.19921875,alpha/beta hydrolase fold
FW602_bin_15,HOFBHBDL_00457,373367,374329,-,PF00795.21,43,302,1.70E-34,119.3,0.911877395,Carbon-nitrogen hydrolase
FW602_bin_15,HOFBHBDL_00458,374430,375482,+,PF07478.12,138,342,2.00E-53,180.9,0.995098039,D-ala D-ala ligase C-terminus
FW602_bin_15,HOFBHBDL_00459,375506,376153,+,PF13529.5,14,183,2.20E-15,57.4,0.993055556,Peptidase_C39 like family
FW602_bin_15,HOFBHBDL_00460,376212,376922,+,PF01427.16,51,223,6.30E-27,94.5,0.820895522,D-ala-D-ala dipeptidase
FW602_bin_15,HOFBHBDL_00463,377960,378748,-,PF01177.21,7,207,1.40E-31,110,0.973214286,Asp/Glu/Hydantoin racemase
FW602_bin_15,HOFBHBDL_00464,378741,379451,-,PF02578.14,18,229,1.10E-50,172.3,0.939393939,Multi-copper polyphenol oxidoreductase laccase
FW602_bin_15,HOFBHBDL_00465,379444,382221,-,PF08245.11,111,241,7.40E-36,123.8,0.614583333,Mur ligase middle domain
FW602_bin_15,HOFBHBDL_00465,379444,382221,-,PF08245.11,583,758,7.50E-30,104.3,0.994791667,Mur ligase middle domain
FW602_bin_15,HOFBHBDL_00466,382224,383249,-,PF02873.15,215,339,6.30E-35,119.4,1,"UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain"
FW602_bin_15,HOFBHBDL_00467,383246,384631,-,PF02875.20,316,399,1.70E-18,66.5,0.956043956,"Mur ligase family, glutamate ligase domain"
FW602_bin_15,HOFBHBDL_00468,384648,385934,-,PF00275.19,6,418,3.90E-52,177.2,0.997601918,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
FW602_bin_15,HOFBHBDL_00469,385972,387672,-,PF00905.21,250,552,3.00E-78,263,0.986928105,Penicillin binding protein transpeptidase domain
FW602_bin_15,HOFBHBDL_00471,387974,388885,-,PF01795.18,11,301,1.50E-70,238.1,0.990291262,MraW methylase family
FW602_bin_15,HOFBHBDL_00472,388860,389309,-,PF02381.17,74,131,1.40E-14,53.8,0.805555556,"MraZ protein, putative antitoxin-like"
FW602_bin_15,HOFBHBDL_00475,390387,391679,-,PF03129.19,336,428,7.10E-20,70.9,0.989361702,Anticodon binding domain
FW602_bin_15,HOFBHBDL_00476,391695,392771,-,PF09903.8,112,354,3.70E-54,183.6,0.980544747,Uncharacterized protein conserved in bacteria (DUF2130)
FW602_bin_15,HOFBHBDL_00477,392776,393321,-,PF11967.7,5,80,4.90E-21,74.4,0.9625,Recombination protein O N terminal
FW602_bin_15,HOFBHBDL_00478,393334,395388,-,PF13196.5,278,407,1.00E-24,87.6,0.875,Protein of unknown function (DUF4012)
FW602_bin_15,HOFBHBDL_00479,395428,396063,-,PF02397.15,6,205,4.70E-62,208.8,0.994565217,Bacterial sugar transferase
FW602_bin_15,HOFBHBDL_00480,396082,397236,-,PF00483.22,24,308,1.10E-36,126.6,0.987903226,Nucleotidyl transferase
FW602_bin_15,HOFBHBDL_00481,397181,398242,-,PF00534.19,192,339,1.10E-29,103.1,0.924418605,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00482,398239,398787,-,PF00534.19,2,157,1.50E-24,86.4,0.906976744,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00483,398791,399321,-,PF13439.5,15,175,3.30E-13,49.9,0.970588235,Glycosyltransferase Family 4
FW602_bin_15,HOFBHBDL_00484,399318,400154,-,PF00535.25,6,159,1.20E-19,70.7,0.835294118,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00485,400147,401343,-,PF13692.5,234,360,2.40E-21,76.5,0.917910448,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00487,401938,403398,-,PF13231.5,116,247,1.90E-10,41.1,0.86163522,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00488,403379,404782,-,PF04932.14,234,391,3.10E-11,43.1,0.980645161,O-Antigen ligase
FW602_bin_15,HOFBHBDL_00489,404757,405662,-,PF00535.25,5,126,3.30E-20,72.5,0.752941176,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00491,406165,406806,-,PF00132.23,144,178,3.70E-10,39,0.972222222,Bacterial transferase hexapeptide (six repeats)
FW602_bin_15,HOFBHBDL_00492,406809,407984,-,PF00534.19,205,359,3.10E-32,111.4,0.901162791,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00494,408605,409162,-,PF00583.24,53,158,2.50E-08,34.1,0.811965812,Acetyltransferase (GNAT) family
FW602_bin_15,HOFBHBDL_00496,409488,410171,-,PF12705.6,73,209,9.10E-11,42,0.533333333,PD-(D/E)XK nuclease superfamily
FW602_bin_15,HOFBHBDL_00497,410172,413171,-,PF11867.7,665,983,6.40E-82,275.5,0.981927711,Domain of unknown function (DUF3387)
FW602_bin_15,HOFBHBDL_00498,413280,414098,-,PF12686.6,22,254,1.50E-06,28,0.970711297,Protein of unknown function (DUF3800)
FW602_bin_15,HOFBHBDL_00499,414095,415270,-,PF01420.18,6,194,2.70E-18,66.6,0.994047619,Type I restriction modification DNA specificity domain
FW602_bin_15,HOFBHBDL_00499,414095,415270,-,PF01420.18,211,349,6.60E-13,49.1,0.797619048,Type I restriction modification DNA specificity domain
FW602_bin_15,HOFBHBDL_00501,415816,417606,-,PF02384.15,239,557,6.70E-108,360.5,0.993589744,N-6 DNA Methylase
FW602_bin_15,HOFBHBDL_00502,417683,418753,-,PF00534.19,205,327,8.30E-19,67.7,0.796511628,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00504,419240,422458,-,PF00041.20,704,785,2.30E-09,37.4,0.964705882,Fibronectin type III domain
FW602_bin_15,HOFBHBDL_00504,419240,422458,-,PF00041.20,987,1058,1.20E-06,28.6,0.905882353,Fibronectin type III domain
FW602_bin_15,HOFBHBDL_00505,422460,425624,-,PF00041.20,715,799,1.40E-10,41.3,1,Fibronectin type III domain
FW602_bin_15,HOFBHBDL_00506,425665,427056,-,PF13231.5,50,201,1.80E-13,50.9,0.905660377,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00507,427053,427883,-,PF00535.25,5,104,4.20E-31,107.9,0.623529412,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00508,427871,428935,-,PF00534.19,181,321,2.90E-26,92,0.860465116,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00509,428932,430242,-,PF13231.5,52,190,1.30E-07,31.8,0.893081761,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00511,430679,431389,-,PF13489.5,32,178,3.50E-27,95.2,0.896969697,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00512,431386,432168,-,PF00535.25,10,129,8.70E-12,45.1,0.729411765,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00513,432174,433451,-,PF13440.5,39,336,4.90E-18,65.3,0.989761092,Polysaccharide biosynthesis protein
FW602_bin_15,HOFBHBDL_00517,438729,439367,+,PF08241.11,53,146,3.20E-20,72.5,1,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00519,440862,441206,-,PF10066.8,6,108,3.40E-20,72.2,0.971698113,Uncharacterized conserved protein (DUF2304)
FW602_bin_15,HOFBHBDL_00520,441203,441889,-,PF00535.25,9,161,1.00E-23,83.9,0.958823529,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00523,445306,446058,-,PF13489.5,39,212,1.80E-15,57.1,0.878787879,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00524,446118,447803,-,PF13231.5,84,232,6.90E-08,32.8,0.893081761,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00525,447826,448668,+,PF00535.25,12,134,9.50E-26,90.5,0.776470588,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00527,450102,450941,-,PF08241.11,56,151,3.70E-22,78.7,1,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00529,452451,455126,-,PF00754.24,649,764,8.10E-15,55,0.866141732,F5/8 type C domain
FW602_bin_15,HOFBHBDL_00530,455123,455896,-,PF00535.25,18,177,3.10E-18,66.1,0.970588235,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00531,455935,457986,-,PF13231.5,121,242,8.00E-14,52.1,0.779874214,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00532,457983,458711,-,PF13489.5,59,172,4.40E-09,36.3,0.684848485,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00533,458711,459646,-,PF08241.11,104,192,1.80E-23,82.9,0.989473684,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00534,459683,460609,+,PF00535.25,6,165,1.30E-28,99.9,0.976470588,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00535,460613,461290,-,PF08241.11,36,129,1.30E-16,60.9,0.989473684,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00536,461298,462308,-,PF00535.25,7,178,1.50E-26,93.2,1,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00537,462305,463156,-,PF00535.25,7,131,1.60E-24,86.6,0.776470588,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00538,463163,465610,-,PF00754.24,583,689,4.20E-15,55.9,0.818897638,F5/8 type C domain
FW602_bin_15,HOFBHBDL_00539,465668,466603,+,PF00535.25,6,167,4.30E-27,94.9,0.988235294,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00540,466600,467193,-,PF13649.5,39,120,6.40E-14,52.3,0.927835052,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00541,467202,468017,-,PF00551.18,112,221,4.30E-25,88.4,0.607734807,Formyl transferase
FW602_bin_15,HOFBHBDL_00542,468014,468727,-,PF00535.25,8,168,1.30E-28,99.9,0.970588235,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00543,468727,470829,-,PF13231.5,109,247,2.00E-09,37.8,0.830188679,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00544,470877,472121,-,PF01041.16,27,392,1.80E-130,435.4,0.997222222,DegT/DnrJ/EryC1/StrS aminotransferase family
FW602_bin_15,HOFBHBDL_00545,472161,473381,-,PF00534.19,210,372,1.70E-36,125.3,0.924418605,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00547,473992,474771,-,PF13649.5,55,149,2.30E-22,79.4,1,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00548,474768,475511,-,PF08241.11,41,135,5.40E-24,84.6,1,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00549,475498,476640,-,PF00534.19,187,359,8.30E-28,97,0.959302326,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00550,476637,478478,-,PF13231.5,69,225,1.00E-13,51.7,0.955974843,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00551,478469,479242,-,PF00535.25,10,178,4.70E-21,75.2,0.994117647,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00552,479229,480503,-,PF01943.16,18,286,1.90E-20,73.3,0.98540146,Polysaccharide biosynthesis protein
FW602_bin_15,HOFBHBDL_00553,480504,481640,-,PF13231.5,79,208,2.80E-08,34,0.886792453,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00554,481641,482726,-,PF00534.19,161,338,4.70E-29,101.1,0.895348837,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00555,482730,483602,-,PF00535.25,5,146,1.70E-19,70.2,0.911764706,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00556,483604,485247,-,PF13231.5,70,227,8.40E-17,61.7,0.968553459,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00557,485244,486875,-,PF13231.5,66,222,3.10E-12,46.9,0.974842767,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00558,486865,488541,-,PF02366.17,13,229,6.30E-12,45.5,0.92244898,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00559,488538,490058,-,PF13231.5,80,220,6.20E-08,32.9,0.86163522,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00560,490055,491662,-,PF13231.5,65,215,2.50E-14,53.7,0.962264151,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00564,495186,496871,-,PF13231.5,71,221,8.90E-15,55.1,0.943396226,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00565,496873,498447,-,PF13231.5,76,230,1.10E-10,41.8,0.974842767,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00566,498417,499238,-,PF00535.25,5,129,1.70E-24,86.5,0.741176471,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00567,499239,500141,-,PF00535.25,6,164,4.80E-24,85,0.964705882,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00568,500138,500800,-,PF08241.11,54,150,6.40E-20,71.5,1,Methyltransferase domain
FW602_bin_15,HOFBHBDL_00570,502316,504712,-,PF09586.9,114,494,8.80E-10,37.4,0.432657926,Bacterial membrane protein YfhO
FW602_bin_15,HOFBHBDL_00570,502316,504712,-,PF09586.9,694,771,2.00E-10,39.5,0.094159714,Bacterial membrane protein YfhO
FW602_bin_15,HOFBHBDL_00571,504675,505709,-,PF00534.19,151,326,7.00E-26,90.7,0.930232558,Glycosyl transferases group 1
FW602_bin_15,HOFBHBDL_00572,505706,506473,-,PF00535.25,7,125,2.80E-22,79.2,0.776470588,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00573,506483,507397,-,PF13641.5,4,258,2.30E-15,57,0.982608696,Glycosyltransferase like family 2
FW602_bin_15,HOFBHBDL_00574,507394,508293,-,PF00535.25,5,131,7.50E-09,35.5,0.823529412,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00577,510206,511696,-,PF13440.5,48,331,6.20E-52,176.5,0.962457338,Polysaccharide biosynthesis protein
FW602_bin_15,HOFBHBDL_00578,511717,513150,-,PF13231.5,66,210,3.90E-06,27.1,0.93081761,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00579,513120,514853,-,PF10131.8,80,424,3.70E-08,32.1,0.516908213,6-pyruvoyl-tetrahydropterin synthase related domain; membrane protein
FW602_bin_15,HOFBHBDL_00580,514901,516460,-,PF13231.5,65,217,4.10E-12,46.5,0.949685535,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00581,516462,517214,-,PF00535.25,8,167,9.60E-26,90.5,0.970588235,Glycosyl transferase family 2
FW602_bin_15,HOFBHBDL_00582,517216,518709,-,PF13231.5,71,220,3.00E-13,50.2,0.955974843,Dolichyl-phosphate-mannose-protein mannosyltransferase
FW602_bin_15,HOFBHBDL_00583,518710,520206,-,PF13231.5,76,229,1.20E-09,38.5,0.962264151,Dolichyl-phosphate-mannose-protein mannosyltransferase
